lat_lon,lat_lon_X,lat_lon_Y,tmean,tdmean,ppt
44.6761386039372_-122.19652554161657,-122.1965255,44.6761386,4.528000355,4.199999809,26.0510006
44.6761386039372_-122.19625604703133,-122.196256,44.6761386,4.528000355,4.199999809,26.0510006
44.6761386039372_-122.19598655244609,-122.1959866,44.6761386,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.19706453078702,-122.1970645,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.19679503620178,-122.196795,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.19652554161657,-122.1965255,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.19625604703133,-122.196256,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.19598655244609,-122.1959866,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.18924918781518,-122.1892492,44.6764081,4.528000355,4.199999809,26.0510006
44.67640809852243_-122.18897969322994,-122.1889797,44.6764081,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.19679503620178,-122.196795,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.19652554161657,-122.1965255,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.19625604703133,-122.196256,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.19598655244609,-122.1959866,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.18951868240042,-122.1895187,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.18924918781518,-122.1892492,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.18897969322994,-122.1889797,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.18871019864471,-122.1887102,44.67667759,4.528000355,4.199999809,26.0510006
44.67667759310767_-122.18844070405947,-122.1884407,44.67667759,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.19679503620178,-122.196795,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.19652554161657,-122.1965255,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.19625604703133,-122.196256,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.19598655244609,-122.1959866,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.19571705786085,-122.1957171,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.18897969322994,-122.1889797,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.18871019864471,-122.1887102,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.18844070405947,-122.1884407,44.67694709,4.528000355,4.199999809,26.0510006
44.6769470876929_-122.18817120947423,-122.1881712,44.67694709,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.19679503620178,-122.196795,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.19652554161657,-122.1965255,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.19625604703133,-122.196256,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.19598655244609,-122.1959866,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.19571705786085,-122.1957171,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.1954475632756,-122.1954476,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.18924918781518,-122.1892492,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.18897969322994,-122.1889797,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.18871019864471,-122.1887102,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.18844070405947,-122.1884407,44.67721658,4.528000355,4.199999809,26.0510006
44.67721658227814_-122.18817120947423,-122.1881712,44.67721658,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19652554161657,-122.1965255,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19625604703133,-122.196256,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19598655244609,-122.1959866,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19571705786085,-122.1957171,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.1954475632756,-122.1954476,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19032716615612,-122.1903272,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.19005767157088,-122.1900577,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18978817698564,-122.1897882,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18951868240042,-122.1895187,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18924918781518,-122.1892492,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18897969322994,-122.1889797,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18871019864471,-122.1887102,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18844070405947,-122.1884407,44.67748608,4.528000355,4.199999809,26.0510006
44.677486076863374_-122.18817120947423,-122.1881712,44.67748608,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19625604703133,-122.196256,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19598655244609,-122.1959866,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19571705786085,-122.1957171,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.1954475632756,-122.1954476,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19517806869035,-122.1951781,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.1908661553266,-122.1908662,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19059666074136,-122.1905967,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19032716615612,-122.1903272,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.19005767157088,-122.1900577,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18978817698564,-122.1897882,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18951868240042,-122.1895187,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18924918781518,-122.1892492,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18897969322994,-122.1889797,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18871019864471,-122.1887102,44.67775557,4.528000355,4.199999809,26.0510006
44.67775557144861_-122.18844070405947,-122.1884407,44.67775557,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19625604703133,-122.196256,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19598655244609,-122.1959866,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19571705786085,-122.1957171,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.1954475632756,-122.1954476,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19517806869035,-122.1951781,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19490857410511,-122.1949086,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.1946390795199,-122.1946391,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19167463908232,-122.1916746,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19140514449708,-122.1914051,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19113564991184,-122.1911356,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.1908661553266,-122.1908662,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19059666074136,-122.1905967,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19032716615612,-122.1903272,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.19005767157088,-122.1900577,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.18978817698564,-122.1897882,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.18951868240042,-122.1895187,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.18924918781518,-122.1892492,44.67802507,4.528000355,4.199999809,26.0510006
44.67802506603385_-122.18897969322994,-122.1889797,44.67802507,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19598655244609,-122.1959866,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19571705786085,-122.1957171,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.1954475632756,-122.1954476,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19517806869035,-122.1951781,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19490857410511,-122.1949086,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.1946390795199,-122.1946391,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19436958493466,-122.1943696,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19410009034942,-122.1941001,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19383059576418,-122.1938306,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19356110117896,-122.1935611,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19329160659372,-122.1932916,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19221362825276,-122.1922136,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19194413366752,-122.1919441,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19167463908232,-122.1916746,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19140514449708,-122.1914051,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19113564991184,-122.1911356,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.1908661553266,-122.1908662,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19059666074136,-122.1905967,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19032716615612,-122.1903272,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.19005767157088,-122.1900577,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.18978817698564,-122.1897882,44.67829456,4.528000355,4.199999809,26.0510006
44.678294560619086_-122.18951868240042,-122.1895187,44.67829456,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19571705786085,-122.1957171,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.1954475632756,-122.1954476,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19517806869035,-122.1951781,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19490857410511,-122.1949086,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.1946390795199,-122.1946391,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19436958493466,-122.1943696,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19410009034942,-122.1941001,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19383059576418,-122.1938306,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19356110117896,-122.1935611,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19329160659372,-122.1932916,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19302211200848,-122.1930221,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19275261742324,-122.1927526,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.192483122838,-122.1924831,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19221362825276,-122.1922136,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19194413366752,-122.1919441,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19167463908232,-122.1916746,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19140514449708,-122.1914051,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19113564991184,-122.1911356,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.1908661553266,-122.1908662,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19059666074136,-122.1905967,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19032716615612,-122.1903272,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.19005767157088,-122.1900577,44.67856406,4.528000355,4.199999809,26.0510006
44.67856405520432_-122.18978817698564,-122.1897882,44.67856406,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.1954475632756,-122.1954476,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19517806869035,-122.1951781,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19490857410511,-122.1949086,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.1946390795199,-122.1946391,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19436958493466,-122.1943696,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19410009034942,-122.1941001,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19383059576418,-122.1938306,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19356110117896,-122.1935611,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19329160659372,-122.1932916,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19302211200848,-122.1930221,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19275261742324,-122.1927526,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.192483122838,-122.1924831,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19221362825276,-122.1922136,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19194413366752,-122.1919441,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19167463908232,-122.1916746,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19140514449708,-122.1914051,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19113564991184,-122.1911356,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.1908661553266,-122.1908662,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19059666074136,-122.1905967,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19032716615612,-122.1903272,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.19005767157088,-122.1900577,44.67883355,4.528000355,4.199999809,26.0510006
44.67883354978955_-122.18978817698564,-122.1897882,44.67883355,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19517806869035,-122.1951781,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19490857410511,-122.1949086,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.1946390795199,-122.1946391,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19436958493466,-122.1943696,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19410009034942,-122.1941001,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19383059576418,-122.1938306,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19356110117896,-122.1935611,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19329160659372,-122.1932916,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19302211200848,-122.1930221,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19275261742324,-122.1927526,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.192483122838,-122.1924831,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19221362825276,-122.1922136,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19194413366752,-122.1919441,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19167463908232,-122.1916746,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19140514449708,-122.1914051,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19113564991184,-122.1911356,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.1908661553266,-122.1908662,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19059666074136,-122.1905967,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19032716615612,-122.1903272,44.67910304,4.528000355,4.199999809,26.0510006
44.67910304437479_-122.19005767157088,-122.1900577,44.67910304,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19490857410511,-122.1949086,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.1946390795199,-122.1946391,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19436958493466,-122.1943696,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19410009034942,-122.1941001,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19383059576418,-122.1938306,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19356110117896,-122.1935611,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19329160659372,-122.1932916,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19302211200848,-122.1930221,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19275261742324,-122.1927526,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.192483122838,-122.1924831,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19221362825276,-122.1922136,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19194413366752,-122.1919441,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19167463908232,-122.1916746,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19140514449708,-122.1914051,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19113564991184,-122.1911356,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.1908661553266,-122.1908662,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19059666074136,-122.1905967,44.67937254,4.528000355,4.199999809,26.0510006
44.67937253896002_-122.19032716615612,-122.1903272,44.67937254,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19490857410511,-122.1949086,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.1946390795199,-122.1946391,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19436958493466,-122.1943696,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19410009034942,-122.1941001,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19383059576418,-122.1938306,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19356110117896,-122.1935611,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19329160659372,-122.1932916,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19302211200848,-122.1930221,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19275261742324,-122.1927526,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.192483122838,-122.1924831,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19221362825276,-122.1922136,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19194413366752,-122.1919441,44.67964203,4.528000355,4.199999809,26.0510006
44.679642033545264_-122.19167463908232,-122.1916746,44.67964203,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19490857410511,-122.1949086,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.1946390795199,-122.1946391,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19436958493466,-122.1943696,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19410009034942,-122.1941001,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19383059576418,-122.1938306,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19356110117896,-122.1935611,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19329160659372,-122.1932916,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19302211200848,-122.1930221,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19275261742324,-122.1927526,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.192483122838,-122.1924831,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19221362825276,-122.1922136,44.67991153,4.528000355,4.199999809,26.0510006
44.679911528130496_-122.19194413366752,-122.1919441,44.67991153,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.1946390795199,-122.1946391,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19436958493466,-122.1943696,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19410009034942,-122.1941001,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19383059576418,-122.1938306,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19356110117896,-122.1935611,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19329160659372,-122.1932916,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19302211200848,-122.1930221,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19275261742324,-122.1927526,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.192483122838,-122.1924831,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19221362825276,-122.1922136,44.68018102,4.528000355,4.199999809,26.0510006
44.680181022715736_-122.19194413366752,-122.1919441,44.68018102,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.1946390795199,-122.1946391,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19436958493466,-122.1943696,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19410009034942,-122.1941001,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19383059576418,-122.1938306,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19356110117896,-122.1935611,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19329160659372,-122.1932916,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19302211200848,-122.1930221,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19275261742324,-122.1927526,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.192483122838,-122.1924831,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19221362825276,-122.1922136,44.68045052,4.528000355,4.199999809,26.0510006
44.68045051730097_-122.19194413366752,-122.1919441,44.68045052,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.1946390795199,-122.1946391,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19436958493466,-122.1943696,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19410009034942,-122.1941001,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19383059576418,-122.1938306,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19356110117896,-122.1935611,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19329160659372,-122.1932916,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19302211200848,-122.1930221,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19275261742324,-122.1927526,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.192483122838,-122.1924831,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19221362825276,-122.1922136,44.68072001,4.528000355,4.199999809,26.0510006
44.68072001188621_-122.19194413366752,-122.1919441,44.68072001,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.1946390795199,-122.1946391,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19436958493466,-122.1943696,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19410009034942,-122.1941001,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19383059576418,-122.1938306,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19356110117896,-122.1935611,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19329160659372,-122.1932916,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19302211200848,-122.1930221,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19275261742324,-122.1927526,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.192483122838,-122.1924831,44.68098951,4.528000355,4.199999809,26.0510006
44.68098950647144_-122.19221362825276,-122.1922136,44.68098951,4.528000355,4.199999809,26.0510006
